iteration,beta_draw
1,0.0411080140645098
2,0.0415225631694268
3,0.0396837591423768
4,0.0381100716081114
5,0.0402360571793748
6,0.0390921179811331
7,0.0376578829105174
8,0.0410099105141693
9,0.0411235058054941
10,0.0415136642916093
11,0.0392402035929496
12,0.0413933545366686
13,0.0410725435963863
14,0.039907421412058
15,0.0395912953795835
16,0.0384414518221034
17,0.0396309878503796
18,0.0392866316067013
19,0.037172314468605
20,0.0419954428145558
21,0.0396934554348513
22,0.0422194924246234
23,0.0399965978778335
24,0.038970059546646
25,0.0397575351877914
26,0.0387147505701665
27,0.0406551879752201
28,0.0417978584889103
29,0.0409427601630438
30,0.0392389761417522
31,0.0407966023277034
32,0.0409634466404397
33,0.0421563747103248
34,0.0411654692062713
35,0.0413436148112651
36,0.0371498130363135
37,0.0363815582454474
38,0.0362909398426642
39,0.0397067084401206
40,0.0407438060959844
41,0.0401366333283086
42,0.0391907984650188
43,0.0396585116410306
44,0.0407898468568133
45,0.0418382373527256
46,0.0390863755989902
47,0.0401522729042786
48,0.0387797432483462
49,0.0409133129442588
50,0.0401701722187129
